Variable;Description;Subcategory;Type;Values;;Mutability;Data Source
TP_AEE;Atendimento Educacional Especializado (AEE);Pedagogical proposal;Categorical;"0 - Não oferece; 1 - Não exclusivamente; 2 - Exclusivamente";"0 - Não oferece; 1 - Não exclusivamente; 2 - Exclusivamente";Structural;School Census 2024
TP_ATIVIDADE_COMPLEMENTAR;Atividade Complementar;Pedagogical proposal;Categorical;"0 - Não oferece; 1 - Não exclusivamente; 2 - Exclusivamente";"0 - Não oferece; 1 - Não exclusivamente; 2 - Exclusivamente";Structural;School Census 2024
AFD_MED_CAT_1;% EM teachers with fully adequate training;Teacher quality;Continuous;0–100%;0–100%;Structural;INEP Indicators 2024
AFD_MED_CAT_5;% EM teachers without undergraduate degree;Teacher quality;Continuous;0–100%;0–100%;Structural;INEP Indicators 2024
QT_TRANSP_RESP_EST;Número de Matrículas da Educação Básica segundo o poder público responsável pelo transporte escolar - Estadual;Transport;Numeric (count);≥0;≥0;Structural;School Census 2024
TDI_MED;Grade–age distortion rate (EM);Educational indicators;Continuous;0–100%;0–100%;Indirectly Actionable;INEP Indicators 2024
IRD_MED;Teacher body regularity index (EM);Educational indicators;Continuous;0–5;0–5;Indirectly Actionable;INEP Indicators 2024
IN_ORGAO_ASS_PAIS_MESTRES;Órgãos colegiados em funcionamento na escola - Associação de Pais e Mestres;Community participation;Binary (0/1);"0 - No; 1 - Yes";"0 - Não; 1 - Sim";Indirectly Actionable;School Census 2024
IN_ORGAO_ASS_PAIS;Órgãos colegiados em funcionamento na escola - Associação de Pais;Community participation;Binary (0/1);"0 - No; 1 - Yes";"0 - Não; 1 - Sim";Indirectly Actionable;School Census 2024
IN_INTERNET;Acesso à Internet;Connectivity;Binary (0/1);"0 - No; 1 - Yes";"0 - Não; 1 - Sim";Operational;School Census 2024
IN_INTERNET_ALUNOS;Acesso à Internet - Para uso dos alunos;Connectivity;Binary (0/1);"0 - No; 1 - Yes";"0 - Não; 1 - Sim";Operational;School Census 2024
IN_INTERNET_APRENDIZAGEM;Acesso à Internet - Para uso nos processos de ensino e aprendizagem;Connectivity;Binary (0/1);"0 - No; 1 - Yes";"0 - Não; 1 - Sim";Operational;School Census 2024
IN_INTERNET_ADMINISTRATIVO;Acesso à Internet - Para uso administrativo;Connectivity;Binary (0/1);"0 - No; 1 - Yes";"0 - Não; 1 - Sim";Operational;School Census 2024
IN_INTERNET_COMUNIDADE;Acesso à Internet - Para uso da comunidade;Connectivity;Binary (0/1);"0 - No; 1 - Yes";"0 - Não; 1 - Sim";Operational;School Census 2024
IN_BANDA_LARGA;Internet Banda Larga;Connectivity;Binary (0/1);"0 - Não; 1 - Yes; - Não aplicável para escolas sem acesso à internet";"0 - Não; 1 - Sim; - Não aplicável para escolas sem acesso à internet";Operational;School Census 2024
QT_DESKTOP_ALUNO;Quantidade de computadores em uso pelos alunos - Computador de mesa (desktop);Student equipment;Numeric (count);88888 - registro com marcação de valor extremo (valor superior ao limite máximo de 4 equipamentos para cada 3 matrículas - foram marcados apenas valores>3);88888 - registro com marcação de valor extremo (valor superior ao limite máximo de 4 equipamentos para cada 3 matrículas - foram marcados apenas valores>3);Operational;School Census 2024
